KR_7085095006,1,37,12,10,5,1,16,8,13,0,0,1,1,10,28190,30565,363,76,1,0,0,32,7,11,7,0,8,16,9,1,0,5,0,2,25771,29791,388,82,0,0,1,2557.618
KR_7071343904,0,28,5,6,1,0,6,11,6,0,0,2,0,2,24314,29447,365,99,0,0,0,33,6,5,1,1,11,6,11,1,1,4,1,9,29256,32273,403,91,1,0,1,1411.846
KR_7062717404,0,38,3,15,6,1,4,13,3,0,0,2,0,11,23251,27614,370,84,0,0,0,34,10,17,2,0,13,4,19,2,0,4,0,4,28401,31653,412,104,0,0,1,1102.432
KR_7085994051,0,33,7,5,0,0,12,12,10,0,0,3,2,12,25660,28587,324,88,1,0,0,28,6,12,3,1,12,12,17,1,0,3,2,7,30762,31635,427,86,0,0,1,1396.941
KR_7106737260,0,40,9,7,4,0,12,10,24,1,0,1,0,6,27872,29757,345,87,0,0,1,36,7,11,4,1,10,12,20,1,0,5,0,4,28031,29203,408,81,0,0,0,1236.877
KR_7073853832,0,39,7,10,2,0,15,12,22,0,0,4,1,12,30499,32692,386,108,1,0,0,26,5,11,3,1,12,15,9,2,0,2,0,4,28729,32867,444,92,0,0,1,1478.637
KR_7085759539,1,36,12,10,5,1,15,9,12,1,0,3,0,9,28635,31821,374,78,0,0,0,35,7,9,8,0,9,15,11,1,1,3,1,4,28020,32207,397,96,1,0,1,1365.101
KR_7106636097,0,45,8,13,4,1,12,14,15,1,0,3,0,11,29342,30739,428,81,0,0,0,43,8,10,6,0,14,12,20,1,0,3,0,1,28477,30362,356,97,0,0,1,1684.921
KR_6968048798,0,82,8,16,7,1,13,17,18,1,1,4,2,11,29456,26232,336,76,1,0,0,34,11,22,5,0,17,13,27,1,0,2,1,8,30246,27389,338,88,0,0,1,1787.981
KR_7095837485,0,30,4,8,6,0,6,19,5,0,0,0,0,3,22791,25474,313,75,0,0,0,36,12,11,1,1,19,6,23,1,1,6,3,9,32879,30858,349,93,1,0,1,950.258
